"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"25.67363","-79.25302","South Bimini 5 South","SB5S","auger","n","BBFSF.Bim","2","sand/seagrass","2017"
"25.69699","-79.24097","south bimini north east","SBNE","auger","y","BBFSF.Bim","2",NA,"2014"
"25.70022","-79.21594","south longline a east","SLLAE","auger","n","BBFSF.Bim","2",NA,"2015"
"25.65654","-79.3227","south west south turtle","SWST","auger","n","BBFSF.Bim","27.8",NA,"2015"
"25.65662","-79.31325","south west turtle","SWT","auger","y","BBFSF.Bim","10",NA,"2015"
"25.66594","-79.25105","Tigtanic","TIG","auger","n","BBFSF.Bim","2","sand/seagrass","2016"
"25.64675","-79.32095","TR West","TRW","auger","n","BBFSF.Bim","20.8",NA,"2017"
"25.64908","-79.31411","Triangle Rocks","TR","concrete casing","n","BBFSF.Bim","13.4","coral/sand","2016"
"25.69085","-79.26656","Turtle Honey Hole","THH","concrete casing","n","BBFSF.Bim","1.5","patchy seagrass, artificial reef, mangrove edge","2016"
"25.67408","-79.31871","west north west turtle","WNWT","auger","y","BBFSF.Bim","28",NA,"2015"
"25.68646","-79.31012","west round rock","WRR","auger","y","BBFSF.Bim","8",NA,"2014"
"25.66495","-79.31092","west turtle","WT","auger","n","BBFSF.Bim","16.6",NA,"2015"
"25.68681","-79.32016","west west round rock","WWRR","auger","n","BBFSF.Bim","28",NA,"2015"
"25.66513","-79.32057","west west turtle","WWT","auger","n","BBFSF.Bim","28.2",NA,"2015"
"26.71256","-80.01745","BR","BR",NA,"n","BBFSF.Jup","17.1","reef",NA
"26.92803","-80.02165","CK","CK",NA,"n","BBFSF.Jup","27.4","artificial reef",NA
"26.96361","-80.00678","EB","EB",NA,"n","BBFSF.Jup","29","artificial reef",NA
"27.05063","-80.04261","HS","HS",NA,"n","BBFSF.Jup","22","reef",NA
"27.04461","-80.03125","HSO","HSO",NA,"n","BBFSF.Jup","18.3","reef",NA
"26.62466","-80.02291","HSR","HSR",NA,"n","BBFSF.Jup","18.3","reef",NA
"26.97911","-80.02435","MGE","MGE",NA,"n","BBFSF.Jup","19.8","artificial reef",NA
"26.97726","-80.0266","MGW","MGW",NA,"n","BBFSF.Jup","19.8","artificial reef",NA
"26.87215","-80.0138","MR","MR",NA,"n","BBFSF.Jup","27.4","reef",NA
"26.79275","-80.00358","PA","PA",NA,"n","BBFSF.Jup","29","artificial reef",NA
"26.47778","-80.03951","PG","PG",NA,"n","BBFSF.Jup","26.5","artificial reef",NA
"26.65175","-80.02136","PR","PR",NA,"n","BBFSF.Jup","18.3","reef",NA
"26.99012","-80.02497","PTR","PTR",NA,"n","BBFSF.Jup","19.2","reef",NA
"26.75248","-80.00922","SSN","SSN",NA,"n","BBFSF.Jup","27.1","artificial reef",NA
"26.9769","-80.01606","TB","TB",NA,"n","BBFSF.Jup","21.3","artificial reef",NA
"25.53583","-76.75086","R14 Deep Creek","R14",NA,"n","CEI","2.4","Seagrass",NA
"25.5364","-76.745","R15 Plum Point","R15",NA,"n","CEI","2.4","Seagrass, sand",NA
